geoid,b19013001,b19013001_moe
14000US01039962500,46797,13977
14000US01039962600,26463,1897
14000US01039961900,54364,8831
14000US01039962000,34967,5083
14000US01039962800,44650,6437
14000US01041963500,51369,7524
14000US01039962900,52115,5583
14000US01041963600,28571,5969
14000US01043964100,32243,5154
14000US01041963700,44939,7071
14000US01039963000,30705,6411
14000US01041963800,29728,10175
14000US01043964200,38873,2127
14000US01041963400,44280,7875
14000US01043964300,54038,7050
14000US01041963900,36705,18498
14000US01043965100,42773,4425
14000US01043964600,51806,12195
14000US01043964400,43542,4369
14000US01043964500,40926,5339
14000US01043965200,52768,9310
14000US01043965500,47594,7690
14000US01043964700,50093,7964
14000US01043965300,40625,7160
14000US01043964800,42219,5660
14000US01043964900,50459,11655
14000US01043965600,50521,13037
14000US01043965700,43244,8669
14000US01043965401,29433,8163
14000US01045020000,63839,10234
14000US01043965000,40653,3809
14000US01043965402,42800,10415
14000US01045020100,53145,7033
14000US01045021300,48566,7847
14000US01045020801,42188,11034
14000US01045020802,49200,8228
14000US01045020200,56364,10437
14000US01045020300,44211,7156
14000US01045020400,57232,13370
14000US01045021400,34271,4373
14000US01045020500,34219,8919
14000US01045020700,21972,3697
14000US01045021101,57881,4139
14000US01047956100,49964,12745
14000US01045021102,39136,10071
14000US01045021200,45625,11491
14000US01047956201,54615,29933
14000US01047956202,51111,9264
14000US01047957200,30255,8036
14000US01047956702,37188,10100
14000US01047956800,33466,15201
14000US01047956900,24559,9108
14000US01047956300,27100,5074
14000US01047956400,16655,2919
14000US01047956500,15040,6537
14000US01047956600,26820,4800
14000US01047957300,29978,5383
14000US01047956701,51432,5031
14000US01047957000,30059,3255
14000US01049960100,38277,10598
14000US01047957100,33284,3226
14000US01049960200,32390,7333
14000US01049960300,37334,4375
14000US01049961400,40550,9335
14000US01049960900,35103,5914
14000US01049961000,37665,4496
14000US01049961100,44489,6773
14000US01049960400,41363,3085
14000US01049960500,44286,6515
14000US01049960600,31971,9317
14000US01049960700,34917,7598
14000US01049960800,34306,8881
14000US01049961200,69261,10495
14000US01051030100,46223,8091
14000US01049961300,38038,8148
14000US01051030200,63444,6837
14000US01051030300,66667,25071
14000US01051030400,55734,4634
14000US01051031300,47688,6775
14000US01051030901,77813,12843
14000US01051030902,49526,4674
14000US01051031000,50816,12494
14000US01051030500,58134,11839
14000US01051030600,48063,14165
14000US01051030701,89552,9177
14000US01051030702,80625,12868
14000US01051030800,54659,17306
14000US01051031100,66771,13395
14000US01053969800,35012,5488
14000US01051031200,40388,7652
14000US01053969900,44150,8099
14000US01053970100,53490,6250
14000US01053970200,22697,7554
14000US01055000700,15909,3165
14000US01055000200,30188,4807
14000US01053970300,34688,7616
14000US01053970400,37224,9317
14000US01053970500,28798,10939
14000US01055000300,21324,1959
14000US01055000800,25750,20834
14000US01055000400,65417,13661
14000US01055000500,25742,7819
14000US01055000600,27837,6073
14000US01053970600,22200,3977
14000US01053970700,38964,11624
14000US01055001200,28556,6922
14000US01055001300,30000,7305
14000US01055010200,40545,4585
14000US01055000900,30029,7000
14000US01055010300,45694,14905
14000US01055010401,46634,4097
14000US01055001600,36250,6980
14000US01055001700,26538,9381
14000US01055001000,22163,8612
14000US01055010100,39883,7928
14000US01055010402,56642,7811
14000US01055001100,74643,15157
14000US01055010501,71283,2727
14000US01057020000,33783,8362
14000US01055010900,47222,5895
14000US01055011001,44529,7948
14000US01055010502,59793,11421
14000US01055010601,56081,8551
14000US01055010602,45426,3976
14000US01055010700,46806,7354
14000US01055011002,43821,9743
14000US01057020100,40396,8479
